title,url,index_page_url,date,determination_number,brand,outcome,medium,Old Code sections - pre 1 July 2014,Old Code section - pre 1 July 2014,code_version,code_section,M-Dig,M-TV,M-NP,M-R,M-C,M-O,M-POS,M-P,C-ai,C-aii,C-aiii,C-aiv,C-bi,C-bii,C-biii,C-biv,C-ci,C-cii,C-ciii,C-civ,C-d,year,month,day,company,Current Code section - from 1 August 2023,Current Code sections - from 1 August 2023,nature_of_breach,Previous Code sections - 1 July 2014 to 31 July 2023,Previous Code section - 1 July 2014 to 31 July 2023,New Code sections - post 1 July 2014,New Code section - post 1 July 2014
Liquor Barons Print Advertisement,https://www.abac.org.au/adjudication/93-11/,https://www.abac.org.au/adjudication/page/84,23rd November 2011,93/11,Liquor Barons,Dismissed,Print,"Part 1(a)(i), Part 1(a)(iii)",,1,"Part 1(a)(i), Part 1(a)(iii)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,23,,,,,,,,
eLiquorDirect Digital Advertisement,https://www.abac.org.au/adjudication/92-11/,https://www.abac.org.au/adjudication/page/84,23rd November 2011,92/11,eLiquor Direct,Dismissed,Digital,,Part 1(a)(ii),1,Part 1(a)(ii),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,23,,,,,,,,
Midori Product Placement,https://www.abac.org.au/adjudication/85-11/,https://www.abac.org.au/adjudication/page/84,8th November 2011,85/11,Midori,Dismissed,"Television, Digital","Part 1(a), Part 1(a)(i), Part 1(a)(ii), Part 1(a)(iii), Part 1(a)(iv), Part 1(b), Part 1(c), Part 1(c)(i)",,1,"Part 1(a), Part 1(a)(i), Part 1(a)(ii), Part 1(a)(iii), Part 1(a)(iv), Part 1(b), Part 1(c), Part 1(c)(i)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,8,,,,,,,,
Woolworths Liquor Television Advertisement,https://www.abac.org.au/adjudication/88-11/,https://www.abac.org.au/adjudication/page/84,26th October 2011,88/11,Woolworths Liquor,Dismissed,Television,"Part 1(a), Part 1(a)(i), Part 1(a)(ii), Part 1(a)(iii)",,1,"Part 1(a), Part 1(a)(i), Part 1(a)(ii), Part 1(a)(iii)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,10,26,,,,,,,,
Wild Turkey Television Advertisement,https://www.abac.org.au/adjudication/84-11/,https://www.abac.org.au/adjudication/page/84,26th October 2011,84/11,Wild Turkey,Dismissed,Television,"Part 1(a), Part 1(a)(i), Part 1(a)(iii)",,1,"Part 1(a), Part 1(a)(i), Part 1(a)(iii)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,10,26,,,,,,,,
DanMurphys Outdoor Advertisements,https://www.abac.org.au/adjudication/76-7-11/,https://www.abac.org.au/adjudication/page/84,30th September 2011,76-7/11,Dan Murphys,Dismissed,Outdoor,"Part 1(a)(ii), Part 1(b)",,1,"Part 1(a)(ii), Part 1(b)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,9,30,,,,,,,,
Corona Cinema Advertisement,https://www.abac.org.au/adjudication/75-11/,https://www.abac.org.au/adjudication/page/84,30th September 2011,75/11,Corona,Dismissed,Cinema,"Part 1(a)(ii), Part 1(b)",,1,"Part 1(a)(ii), Part 1(b)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,9,30,,,,,,,,
West End Television Advertisement,https://www.abac.org.au/adjudication/71-11/,https://www.abac.org.au/adjudication/page/84,16th September 2011,71/11,West End,Dismissed,Television,,Part 1(a),1,Part 1(a),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,9,16,,,,,,,,
CUB Television Advertisement,https://www.abac.org.au/adjudication/70-11/,https://www.abac.org.au/adjudication/page/84,16th September 2011,70/11,Carlton United Brewers,Upheld,Television,"Part 1(a), Part 1(c), Part 1(c)(i), Part 1(c)(ii), Part 1(c)(iii)",,1,"Part 1(a), Part 1(c), Part 1(c)(i), Part 1(c)(ii), Part 1(c)(iii)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,9,16,,,,,,,,
Bundaberg Five Television Advertisement,https://www.abac.org.au/adjudication/69-11/,https://www.abac.org.au/adjudication/page/84,8th September 2011,69/11,Bundaberg Five,Upheld,Television,"Part 1(c), Part 1(c)(i)",,1,"Part 1(c), Part 1(c)(i)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,9,8,,,,,,,,
